abstract ce8,,,4
abstract clubrev,,,4
abstract clubscan,,,4
abstract colour,,,2
abstract future1,,,4
abstract future2,,,4
abstract future3,,,4
abstract galmoon,,,2
abstract galstar,,,4
abstract glad rev,,,4
abstract gladiator,,,4
abstract recscan,,,5
abstract twister,,,2
abstract vr8,,,4
abstract vr8ce,,,4
abstract vr8r,,,6
abstract vr8rce,,,4,
abstract vrxcol,,,4,
abstract vrxglad,,,6,
abstract vrxscan,,,6,
abstract vrxstar,,,6,
ac light chroma-qbw,A.C. Lighting,Chroma-Q Broadway,1,ChromaQBrd#
ac light chroma-qcq1,A.C. Lighting,Chroma-Q CQ1/D,1,ChromaQ#
ac light chroma-qm1,A.C. Lighting,Chroma-Q M1,1,ChromaQM1#
ac light chroma-qm2,A.C. Lighting,Chroma-Q M2,1,ChromaQM2#
ac light chroma-qm5,A.C. Lighting,Chroma-Q M5,1,ChromaQM5#
ac light chroma-qm8,A.C. Lighting,Chroma-Q M8,1,ChromaQM8#
acme mh6605,,,5,
acme mh6606,,,6,
american dj col250,,,2,
american dj matrix,,,16,
american dj mighty,,,6,
american dj pat1200,,,17,ADJPatend1200#
american dj pat1200,,,13,ADJPatend1200#
american dj pat1200hi,,,17,ADJPatend1200#
american dj patend,,,13,
american dj themax,,,8,
american dj xtreme,,,4,
amptown washbeam,,,15,
amptown washhp,,,10,
amptown washhptv,,,12,
amptown washhx,,,10,
amptown controlite pml,,,9,
amptown controlite pml2,,,12,
amptown controlite pmlhpw,,,10,
amptown controlite pmlw,,,7,
avr ledion,AVR Ledion,600 x 600 x 44,4,
avr ledion,AVR Ledion,300 x 300 x 44,4,
avr ledion,AVR Ledion,600 x 300 x 44,4,
avr ledion,AVR Ledion,600 x 600 x 100,4,
borealis sl750,,,3,
cameleon telescan,,,20,
chroma q goborot,,,2,
cirro lightstrike,,,2,
city theat autoyoke,City Theatrical,AutoYoke Ellipsoidal,5,CT_S4Yoke#8E
city theat autoyokehr,City Theatrical,AutoYoke Ellipsoidal,7,CT_S4Yoke#16E
city theat autoyokehr,City Theatrical,AutoYoke PARnel,7,CT_S4PNYoke#16E
clay paky astrascan,,,13,
clay paky astrorag,,,1,
clay paky col150,,,4,
clay paky col250,,,4,
clay paky col400,,,4,
clay paky col575,,,4,
clay paky col575mh,,,8,
clay paky colw300,,,2,
clay paky combi300,,,4,
clay paky gc1200,,,8,
clay paky gc1200hi,,,10,
clay paky gs1200,Clay Paky,Golden Spot 1200,10,GoldSpot1200#8_NoRain_CL_G16
clay paky gs1200hi,Clay Paky,Golden Spot 1200,13,GoldSpot1200#16_NoRain_CL_G16
clay paky gs2,Clay Paky,Golden Scan 2 HMI 1200W,6,GoldenScan2#
clay paky gs3,Clay Paky,Golden Scan 3,6,GoldenScan3#6ch
clay paky gs3-8c,,,8,GoldenScan3#8ch
clay paky hpe,Clay Paky,Golden Scan HPE,12,GoldenScanHPE#
clay paky minihpe,,,7,MiniScanHPE#
clay paky miniscan,,,4,MiniScan#
clay paky pinscan,,,3,PinScan#
clay paky profplus,,,33,
clay paky sl300,Clay Paky,Stage Light 300,8,StageLt300#8_2
clay paky sl300hi,Clay Paky,Stage Light 300,10,StageLt300#16_2
clay paky sscanzoom,,,12,StageZm1200#8_C1_G2_CMY
clay paky sscanzoomhi,,,16,StageZm1200#16_C1_G2_CMY
clay paky stgcol1000,Clay Paky,Stage Color 1000,9,StageCol1000#8
clay paky stgcol1000hi,Clay Paky,Stage Color 1000,14,StageCol1000#16
clay paky stgcol1200,Clay Paky,Stage Color 1200,12,StageCol1200#8_CMY
clay paky stgcol1200hi,Clay Paky,Stage Color 1200,14,StageCol1200#16_CMY
clay paky stgcol300,,,8,StageCol300#8
clay paky stgcol300hi,,,10,StageCol300#16
clay paky stgcol575,,,12,StageCol575#8_CMY
clay paky stgcol575hi,,,14,StageCol575#16_CMY
clay paky stgprof,,,19,SP1200SVE#16_Loff_CL
clay paky stgscan16c,Clay Paky,Stage Scan,16,
clay paky stgscan17c,Clay Paky,Stage Scan,17,StageScan#roll
clay paky supscan,,,12,
clay paky supscanmrg,,,12,
clay paky tigscan,,,6,
clay paky tornado,,,8
clay paky zoom1200,Clay Paky,Stage Zoom 1200,16
clay paky zoom1200hi,Clay Paky,Stage Zoom 1200,19
clay paky zoom1200sv,Clay Paky,Stage Zoom 1200,20
coef color,,,5
coef colorfres,,,3
coef disco1200,,,8
coef mp250f6c,,,6
coef mp250f8c,,,8
coef mp250f9c,,,9
coef mp250z,,,9
coef mp700e,,,15
coef mp700m,,,14
coef mp700w,,,16
coef p200,,,8
coef p250,,,6
coef p250dv,,,6,
coef p250dvp,,,8,
coef p250dvp+,,,9,
coef p250rg,,,6,
coemar 1000al,,,6,
coemar 575msr,,,6,
coemar baby col,,,2,
coemar bcpro,,,2,
coemar broadway,,,5,
coemar cf1200,Coemar,CF 1200,13,CF1200SP#Cstd
coemar cf1200he,Coemar,CF 1200 Hard Edge,20,CF1200HE#Cspec_R_spec_G_spec
coemar cf6,,,12,
coemar cf7he,Coemar,CF 7 Hard Edge X,21,CF7HE#21_G1spec_G2spec_385
coemar cf7hex,Coemar,CF 7 Hard Edge X,20,CF7HEx#20_G1spec_G2spec_385
coemar cf7wzx,,,13,CF7WZX#spec_diff
coemar cf7z,,,13,CF7WZ#spec_385
coemar colcyc250,Coemar,Color Cyc 250 LX,6,ColourCyc250LX#
coemar colorbeam,,,5,
coemar comet,,,5,
coemar compact,,,10,
coemar crono,,,9,
coemar digiscan,,,16,
coemar digiscan,,,16,
coemar htscan,,,16,
coemar ispot150,Coemar,iSpot 150,13,
coemar ispot150hi,,,17,
coemar ispot575,Coemar,iSpot 575,20,iSpot575#Lin
coemar ispot575eb,Coemar,iSpot 575 EB,22,iSpot575EB#Lin
coemar iwash,Coemar,iWash 575 EB,16,iWash575EB#
coemar iwashflex,Coemar,iWash Flex,22,iWashFlex#Clear
coemar kp12,,,9,
coemar kp12,,,9,
coemar miniu1,,,6,
coemar miniu1sr,,,6,
coemar miniu2,,,8,
coemar mm1200,,,10,
coemar mm1200dxp,,,13,
coemar mm1200z,,,18,
coemar mm1200zhi+f104,,,20,
coemar mm2500,,,18,
coemar mm2500hi,,,20,
coemar mmz3,,,20,
coemar pan,,,5,
coemar pancyc250,Coemar,Panorama Cyc 250 C,4,PanoramaCyc250#
coemar pancycpow,Coemar,Panorama Cyc Power,6,PanCycPower#
coemar panicyc,Coemar,iCyc 250,6,iCyc250#
coemar panicyc,Coemar,iCyc 250 Rectangular,6,iCyc250#
coemar panmscan2,,,6,
coemar pc1000,,,8,
coemar pc1200,,,9,
coemar prospot150,Coemar,ProSpot 150 LX,13,ProSpot150LX#
coemar prospot575,Coemar,ProSpot 575 LX,16,ProSpot575LX#Lin
coemar prospotlx,Coemar,ProSpot 250 LX,16,
coemar prowash,Coemar,ProWash 250 LX,16,
coemar prowash575,Coemar,ProWash 575 LX,16,
coemar prowashlx,,,14,
coemar saetta,,,2,
coemar supercyc,Coemar,SuperCyc 2.4,11,SuperCyc2_4#
coemar synchro2,,,3,
coemar tm1200,,,20,MM1200_1530#C20T104Gspec
coemar tm1200dx,,,12,
coemar tm2500,,,21,MM2500_1530#C20T104Gspec
coemar tm4000,,,21,MM4000_816#C20T104Gspec
coemar tx360,,,10
coemar tx360b,,,10
coemar verscol,,,5
columbus columbus,,,7
columbus pro3,,,12
compulite whisperal,compulite,Mini Whisper,1
compulite whisperal,compulite,"Whisper 12""",1
compulite whisperal,compulite,Whisper 8-Lite,1
compulite whisperal,compulite,Whisper AL,1
compulite whisperal,compulite,Whisper B,1
compulite whisperal,compulite,Whisper C,1
compulite whisperal,compulite,Whisper D/1kW,1
compulite whisperal,compulite,Whisper D/2kW,1
compulite whisperal,compulite,Whisper XL,1
compulite luna,Compulite,Luna,5
compulite luna,Compulite,Nova Compact,5
compulite luna,Compulite,Nova Long,5
constella astra,,,4
cxi colindx,,,2
cxi colmix,,,3
cxi colmixd,,,3
desisti leonardo,,,12
desisti telescope,,,8
dha bl2,,,6
dha bl2hi,,,10
dha control,,,8
discotech spinhead,,,8
diversitronic 3000strb,,,2
dts bravoscan3,,,11
dts colchnge,,,4
dts easyscan,,,6
dts etnalight,,,11
dts fog2400,,,2
dts movielight,,,11
dts strobo,,,2
dts xr7,,,16
eee tracdriver,,,8
effect co+c34 cojet,,,5
elation col250,,,16
elation col575,,,16
elation colspot150,,,8
elation spot250,,,16
elation spot575,,,16
elite serve col250,,,16
elite serve col575,,,16
elite serve scan,,,16
elite serve spot250,,,16
elite serve spot575,,,16
elite serve zoom250,,,16
ETC Source4Revolution,etc,Revolution,31
eurocolour2  ecolor,,,3
eurotech euro mk5,,,9
eurotech euroscan,,,19
eurotech strobocol,,,3
fal 360-1200,,,20
fal 360col,,,10
fal 360laser,,,14
fal 360pb,,,10
fal acrobat,,,2
fal colchange,,,2
fal coldance,,,2
fal colspot,,,1
fal fal360,,,8
fal fal360m3,,,12
fal fal360m4,,,15
fal fiblight,,,2
fal gobostar,,,2
fal grcol,,,2
fal huricane,,,4
fal mechdim,,,2
fal modulo,,,10
fal mstrcol,,,2
fal nocturno,,,5
fal promo2,,,6
fal promo3,,,6
fal proscan,,,11
fal proscan2,,,12
fal roul1200,,,8
fal roul1200+,,,13
fal roul1200i,,,8
fal roul1200p,,,15
fal roul575,,,6,
fal scan575,,,6,
fal stageyoke,,,6,
fal tricol,FLY,Trichroma,5,
fly fos,,,12,
fly ticho,,,4,
futurelight adscan,,,11,
futurelight cc200,,,4,
futurelight dominator,,,12,
futurelight domp1,,,2,
futurelight domp2,,,2,
futurelight domp2,,,8,
futurelight gscan,,,8,
futurelight h150,,,4,
futurelight lightduke,,,8,
futurelight mh420,,,8,MH420#M1
futurelight mh640,,,14,MH640#8
futurelight mh640hi,,,16,MH640#16
futurelight mh660,FutureLight,MH660,16,MH660#16
futurelight mh680,,,16,MH680#8M1
futurelight mh840,,,16,MH840#16
futurelight mh860,,,16,MH860#16
futurelight mh880,,,16,
futurelight miracle,,,4,
futurelight phs250,,,14,
futurelight psd200,,,8,
futurelight psd200hi,,,11,
futurelight sc240,,,4,
futurelight sc250,,,6,
futurelight sc370,,,4,
futurelight sc380,,,6,
futurelight sc570,,,10,
futurelight sc740,,,13,
futurelight sc780,,,16,
futurelight sc980,,,16,
generic dimmer,Generic,PAR 64,1,dimmer
generic dimmer,ADB,DN 105,1,
generic dimmer,ADB,DS 105,1,
generic dimmer,ADB,DSN 105,1,
generic dimmer,ADB,DVW 105,1,
generic dimmer,ADB,DW 105,1,
generic dimmer,ADB,WARP 15° - 30°,1,
generic dimmer,ADB,WARP 25° - 50°,1,
generic dimmer,ADB,ACP 1001,1,
generic dimmer,ADB,F 201,1,
generic dimmer,ADB,F 101,1,
generic dimmer,ADB,F 51,1,
generic dimmer,ADB,SLW 220,1,
generic dimmer,ADB,SLW 440,1,
generic dimmer,ADB,Softlux 110,1,
generic dimmer,ADB,Softlux 220,1,
generic dimmer,ADB,Softlux 330,1,
generic dimmer,ADB,Softlux 36,1,
generic dimmer,ADB,Softlux 440,1,
generic dimmer,ADB,Svoboda HT2251,1,
generic dimmer,ADB,A 56 C,1,
generic dimmer,ADB,C 101,1,
generic dimmer,ADB,C 201,1,
generic dimmer,ADB,C 203,1,
generic dimmer,ADB,C 51,1,
generic dimmer,ADB,C 103,1,
generic dimmer,ADB,DS 205,1,
generic dimmer,ADB,DS 51,1,
generic dimmer,ADB,DS 54,1,
generic dimmer,ADB,DVW 205,1,
generic dimmer,ADB,DW 54,1,
generic dimmer,ADB,HMZ 112 D,1,
generic dimmer,ADB,HMZ 115 D,1,
generic dimmer,ADB,HMZ 212 D,1,
generic dimmer,ADB,HMZ 215 D,1,
generic dimmer,ADB,HPZ 112 D,1,
generic dimmer,ADB,HPZ 115 D,1,
generic dimmer,ADB,HPZ 211 D,1,
generic dimmer,ADB,HPZ 211 X,1,
generic dimmer,ADB,HPZ 215 D,1,
generic dimmer,ADB,HPZ 215 X,1,
generic dimmer,ADB,HPZ 2511 D,1,
generic dimmer,ADB,HPZ 2515 D,1,
generic dimmer,ADB,HZU 208 D,1,
generic dimmer,ADB,HZU 2508 D,1,
generic dimmer,ADB,MZU 106 D,1,
generic dimmer,ADB,SLW 220,1,
generic dimmer,ADB,SLW 440,1,
generic dimmer,ADB,Softlux 110,1,
generic dimmer,ADB,Softlux 220,1,
generic dimmer,ADB,Softlux 330,1,
generic dimmer,ADB,Softlux 36,1,
generic dimmer,ADB,Softlux 440,1,
generic dimmer,Selecon,Pacific 23° - 50°,1,
generic dimmer,ETC,Source Four PAR,1,
generic dimmer,CCT Lighting,Minuette Fresnel,1,
generic dimmer,CCT Lighting,Starlette Fresnel,1,
generic dimmer,CCT Lighting,Turbo Silhouette Z00TX,1,
generic dimmer,Compulite,Corona L,1,
generic dimmer,Compulite,Corona M,1,
generic dimmer,Compulite,Corona S,1,
generic dimmer,Compulite,Corona XL,1,
generic dimmer,ETC,Source Four PAR,1,S4Rev#I_F_ChF
generic dimmer,ETC,Source Four 10°,1,
generic dimmer,ETC,Source Four 19°,1,
generic dimmer,ETC,Source Four 26°,1,
generic dimmer,ETC,Source Four 36°,1,
generic dimmer,ETC,Source Four 50°,1,
generic dimmer,ETC,Source Four 5°,1,
generic dimmer,ETC,Source Four jr Zoom,1,
generic dimmer,ETC,Source Four Zoom 15° - 30°,1,
generic dimmer,ETC,Source Four Zoom 25° - 50°,1,
generic dimmer,Generic,4-Light,1,
generic dimmer,Generic,8-Light,1
generic dimmer,Generic,Flame,1
generic dimmer,Generic,PAR 16,1
generic dimmer,Generic,PAR 20,1
generic dimmer,Generic,PAR 36 Long Nose,1
generic dimmer,Generic,PAR 36,1
generic dimmer,Generic,PAR 56,1
generic dimmer,Generic,PAR 64 Short,1
generic dimmer,Generic,PAR 64,1
generic dimmer,Generic,Asymmetric 1kW - 2kW,1
generic dimmer,Generic,Asymmetric 500W - 650W,1
generic dimmer,Generic,Symmetric 1kW - 2kW,1
generic dimmer,Generic,Symmetric 500W - 650W,1
generic dimmer,Robert Juliat,Iris Frontmount,1
generic dimmer,Robert Juliat,Brabo 8,1
generic dimmer,Robert Juliat,611 SX,1
generic dimmer,Robert Juliat,613 SX,1
generic dimmer,Robert Juliat,614 SX,1
generic dimmer,Robert Juliat,710 SX,1
generic dimmer,Robert Juliat,710 SX2,1
generic dimmer,Robert Juliat,713 SX,1
generic dimmer,Robert Juliat,713 SX2,1
generic dimmer,Robert Juliat,714 SX,1
generic dimmer,Robert Juliat,714 SX2,1
generic dimmer,Selecon,1200 Fresnel,1
generic dimmer,Selecon,Acclaim Fresnel,1
generic dimmer,Selecon,Arena Fresnel,1
generic dimmer,Selecon,Compact Fresnel,1
generic dimmer,Selecon,Acclaim PC,1
generic dimmer,Selecon,Acclaim Condensor,1
generic dimmer,Selecon,Pacific 12° - 28°,1
generic dimmer,Selecon,Pacific 23° - 50°,1
generic dimmer,Strand Lighting,Cantata,1
generic dimmer,Strand Lighting,Alto 20° - 38°,1
generic dimmer,Strand Lighting,Optique 15° - 42°,1
generic dimmer,Strand Lighting,Optique 8° - 17°,1
generic dimmer,Strand Lighting,Prelude 16° - 30°,1
generic dimmer,Strand Lighting,Prelude 28° - 40°,1
generic led3chan,Generic,RGB Led Pixel,3
generic led3chan,Generic,RGB Led Round Pixel,3
generic led4chan,Generic,RGB Panel,4
generic led3chanhtp,,,3
generic led4chan,,,4
generic scroller,,,
generic smoke,,,
geni colblast,,,2
geni mojocol,,,1
geni mojos1,,,3
geni mojos2,,,4
geni mojos3,,,4
geni mz12,,,11
geni nimbus ii,,,4
geni oby5,,,16
geni shiva250,,,4
geni shiva250r,,,6
geni stratus,,,9
genius coleco,,,4
genius colgobo,,,4,
genius colpro,,,5,
genius mammut,,,6,
genius microl,,,5,
genius micscan,,,6,
genius mizar,,,6,Mizar#
genius mizar2,,,6,Mizar2#
genius motcol,,,14,
genius motshow,,,14,
genius motspot,,,6,
genius nextr150,,,6,
genius nextr250,,,6,
genius nexts150,,,6,
genius nexts250,,,6,
genius nexus2,,,6,
genius nexus3,,,8,
genius nexushr,,,12
genius omega,,,6
genius omega2,,,10
genius quasar,,,6
genius rainbow,,,4
genius topscan,,,14
genius zapper,,,6
glp pocketscan,,,7,PocketScan#GLP
glp star1200,,,12
glp star150,,,7
glp ypoccol,,,14
glp ypocspot,,,14
griven acr,,,6
griven acr250,,,8
griven acr575,,,14
griven acrfe,,,8
griven acrfres,,,6
griven compass,,,8
griven imperial,,,2
griven kaleido,,,5
griven kolorado,,,5
griven kolorado2,,,5
griven kolorado2,,,5
griven kolorjet,,,7
griven kolstream,,,6
griven popscan,,,8
griven scanvis2,,,6
griven scanvis2,,,8
griven scanvis3,,,14
high end af1000,,,3
high end c16,,,2
high end cat1,,,33
high end cat2,,,23
high end catmir,,,6,
high end colorfx,,,9,
high end colorhx,,,9,
high end colorhxi,,,9,
high end cyber1,High End,Cyberlight,20,CyberSV#M1
high end cyber2,High End,Cyberlight,20,CyberSV#M1
high end cyber3,High End,Cyberlight,15,
high end dataflash,,,3,
high end ec-1,,,12,EC1#16
high end ec-2,,,8,EC2#
high end es-1,,,20,ES1#
high end ibeam,,,13,Ibeam#13
high end ibeam,,,8,Ibeam#8
high end sbeampc,High End,Studio Beam,16,StudioBeam#
high end scol,High End,Studio Color,16,SColor575M#
high end scol,High End,,16,SColor575S#
high end scol250,High End,Studio Color 250,15,SColor250#
high end sspot,High End,Studio Spot,24,SSpot#
high end sspot250,High End,Studio Spot 250,18,SSpot250#
high end sspotz,High End,,24,SSpotZ#
high end sspotcmy,High End,Studio Spot CMY,24,SSpotCMY#
high end sspotcmyzoom,High End,,24,SSpotCMYZ#
high end tbeam,High End,Technobeam,14,Techno#SetR_N
high end tbeamhi,High End,Technobeam,18,Techno#SetF_N
